branch	verdict	value	rationale
feat/r3-pr-prep-decision-citation-mechanized	RETIRE	LOW	R3 re-attempt of a decision-citation idea its own embedded note records as rejected in R1 and R2; heavy grep machinery for marginal external value.
feat/r3-r3-dd-post-decision-fragility-note	MERGE	MED	Adds a one-line decision-fragility marker naming the evidence whose change would flip the decision, pairing with the existing anti-portfolio to make DD records auditable; applies cleanly.
feat/r3-r3-dd-stress-test-deltas	RETIRE	LOW	Adds a stress-test delta logging subsection to DD records; record-keeping/observability rather than better decision output, and self-guarded to often be empty.
feat/r3-r3-dep-upgrade-security-crosslink	REWORK	MED	Good idea (run security-reviewer on the upgrade diff before recommending merge) but targets the removed flat skills/dependency-upgrade.md; re-apply to skills/dependency-upgrade/SKILL.md.
feat/r3-r3-onboarding-task-purpose-context	MERGE	MED	Captures onboarding intent before subsystem mapping and threads it into sub-agent briefs so notes scope to the actual purpose; meaningfully improves onboarding output and applies cleanly.
feat/r3-r3-persona-selection-log	RETIRE	LOW	Adds a considered-but-not-selected personas log for auditability; introspection plumbing and also targets the removed flat skills/ai-personas-critique.md.
feat/r3-r3-pr-prep-registered-hypothesis	RETIRE	LOW	Adds a Falsifiable-expectation PR line to register hypotheses for self-measurement; SI-introspection-flavored, deprioritized.
feat/r3-r3-rpi-reference-not-duplicate	MERGE	MED	Plan-doc guidance to link DD/spike records rather than copy their rationale; sensible external workflow improvement that applies cleanly to RPI.
feat/r3-r3-si-task-prompt-goal-preamble	RETIRE	LOW	Reframes the SI implementer dispatch prompt with a goal preamble; SI-internal, deprioritized rule.
feat/r3-r3-task-decomp-dispatch-example	MERGE	MED	Adds a concrete end-to-end parallel-dispatch-and-recompose example to task-decomposition; improves workflow usability and applies cleanly.
feat/r3-r3-tasks-schema-scope-required	RETIRE	LOW	Adds a required scope enum field to the SI task schema; SI-internal plumbing, deprioritized rule.
feat/r3-r3-tech-debt-rpi-handoff	REWORK	MED	Good workflow-composition idea (Fix-now routes to RPI for non-trivial remediations) but targets the removed flat skills/tech-debt-triage.md; re-apply to skills/tech-debt-triage/SKILL.md.
feat/r3-r3-yglesias-non-policy	REWORK	MED	Useful prioritization guidance for non-policy/engineering drafts (the repo's own use case) but targets the removed flat skills/yglesias-critique.md; re-apply to skills/yglesias-critique/SKILL.md.
feat/r3-si-cycle-framing-python-only	RETIRE	LOW	Explicit shellcheck-gate-dodge (Python rewrite to route around the gate) producing an internal cycle-framing line, deliverable-shaped but unwired — exactly the introspection+gate-dodge pattern the rubric retires.
feat/r3-tests-gate-failure-isolation-task	RETIRE	LOW	SI-internal tests-gate-skip recognizer primitives that ship unwired (consumer in self-improvement.sh never updated); pure loop plumbing with no external output change.
feat/r3-workflow-transition-handoff-line-narrowed	MERGE	MED	Adds a conditional "carried from RPI" provenance line to pr-prep's plan-drift check so reviewers see originating decisions without re-deriving; applies cleanly to current workflows/pr-prep.md and improves external PR output.
feat/r4-failure-analysis-automation	RETIRE	LOW	Wires failure-analysis.sh auto-invoke on rejected SI tasks into the validation log — SI-internal observability plumbing feeding the hypothesis dashboard, deprioritized per the rubric.
feat/r4-hypothesis-survey-runner	RETIRE	LOW	Interactive terminal survey runner for resolving internal SI hypotheses; violates the non-interactive SI constraint and is pure self-improvement-loop introspection.
feat/r4-onboarding-sub-agent-canonical-form	MERGE	MED	Restructures onboarding sub-agent briefing around the canonical goal-preamble + scope spec + verbatim success-criterion restatement; applies cleanly and meaningfully improves the dispatched sub-agent output and synthesis quality.
feat/r4-r8-bug-diagnosis-hypothesis-prompts	RETIRE	LOW	Targets workflows/bug-diagnosis.md, which was removed from main (decision 013) — moot; the hypothesis-generation prompts have no surviving file to land in.
feat/r4-r8-dd-prior-decision-seed	MERGE	MED	Seeds the prior CHOSEN decision as candidate 0 in DD divergence so the team explicitly weighs reuse-vs-re-derive; two-line clean addition that improves DD output, distinct from main's pruned-candidate grep.
feat/r4-r8-draft-review-ensemble-threshold	REWORK	MED	Numeric N/N agreement threshold table replacing qualitative convergence prose is a real output improvement, but targets flat skills/draft-review.md (now skills/draft-review/SKILL.md, which still has the old prose) — re-apply to the restructured file.
feat/r4-r8-fact-check-chunking	REWORK	MED	Useful >30-claim chunking guidance to prevent shallow verdicts, but targets flat skills/fact-check.md (now skills/fact-check/SKILL.md, where it is absent) — re-apply to the restructured SKILL.
feat/r4-r8-onboarding-section-index	MERGE	MED	Adds a one-line section index to onboarding orientation docs so downstream RPI sessions load only relevant sections; applies cleanly to current codebase-onboarding.md and improves doc usability.
feat/r4-r8-pr-prep-escalation-template	MERGE	MED	Adds a consistent escalation-summary markdown template to pr-prep's convergence-ceiling exit; applies cleanly and standardizes external escalation output.
feat/r4-r8-rpi-checkpoint-freshness	MERGE	MED	Adds a git-log staleness check when loading a prior-session checkpoint, closing a gap main only covers for research docs; applies cleanly to research-plan-implement.md.
feat/r4-r8-task-decomp-evidence-priority	MERGE	MED	Adds an [observed]>[inferred]>[assumed] conflict-resolution rule with escalate-on-tie to task-decomp reconciliation; clean two-line addition that sharpens cross-investigation conflict handling.
feat/r4-r8-ui-review-guideline-discovery	REWORK	MED	Multi-path guideline discovery (ui-guidelines.md/design-system.md/STYLE.md + grep) reduces false positives, but targets flat skills/ui-visual-review.md (now skills/ui-visual-review/SKILL.md, still single-path) — re-apply to the restructured SKILL.
feat/r4-si-implementation-dispatch-preamble	MERGE	MED	Replaces bare "Task: $DESC" in the SI implementer dispatch with a User-goal/Current-task/Success-criterion preamble; applies cleanly and improves the actual implementer-agent output (external-facing dispatch quality, not loop introspection).
feat/r4-slim-workflow-companions	RETIRE	LOW	Adds parallel workflows/slim/ companion files — context-slimming for its own sake, which the rubric explicitly says not to over-value; doubles maintenance surface with no external output improvement.
feat/r4-task-decomp-canonical-goal-preamble	MERGE	MED	Rewrites task-decomp briefing to mandate the orchestrated-review goal preamble + Goal-Alignment Note; applies cleanly to current task-decomposition.md and improves dispatched sub-agent output and reconciliation.
feat/r5-dry-run-mode	MERGE	MED	Adds a --dry-run flag exiting after task selection with a summary — genuine testing/inspection value for the SI script (lets a run be validated without worktrees/implementation); applies cleanly to self-improvement.sh.
feat/r5-r5b-code-fact-check-stale-patterns	REWORK	MED	Genuinely useful high-frequency stale-comment patterns for code-fact-check, but edits the flat skills/code-fact-check.md that main restructured into skills/code-fact-check/SKILL.md, so it must be re-applied.
feat/r5-r5b-cowen-technical-draft	REWORK	MED	Valuable technical-draft move-prioritization for cowen-critique but targets the flat skills/cowen-critique.md (now a SKILL.md dir) and overlaps the r6 sibling; re-apply one of the two.
feat/r5-r5b-perf-micro-macro	REWORK	MED	Strong Micro/Macro x Hot/Cold severity-calibration matrix for performance-reviewer, but edits the flat skills/performance-reviewer.md that main moved to a SKILL.md dir.
feat/r5-r5b-pr-prep-description-gate	MERGE	MED	Adds a fast 3-question PR-description micro-check (why-not-what, specific tests, uncertainty flagged) to pr-prep; applies cleanly and improves reviewer-facing output.
feat/r5-r5b-rpi-assumed-closeout	MERGE	MED	One-line RPI commit-checklist item closing out [assumed] research claims; small external workflow improvement, only a trivial context conflict to resolve.
feat/r5-r5b-spike-timebox-defaults	MERGE	MED	Per-spike-type timebox anchor table (API check/library eval/cross-cutting) usefully concretizes the generic 30-min default; applies cleanly.
feat/r5-r5b-task-decomp-output-template	MERGE	MED	Recommended 5-section sub-agent output scaffold reduces reconciliation overhead in task-decomposition; applies cleanly.
feat/r5-r5b-task-decomp-quality-signals	MERGE	HIGH	Pre-dispatch coupling signals (shared mutable state, >2 shared interfaces, cross-package imports) catch bad decompositions before they waste parallelism; high external value, only minor context conflicts.
feat/r5-si-implementer-validation-aware-success	RETIRE	LOW	Pure SI-loop plumbing — surfaces the loop's own validation gates to the implementer dispatch; no change to any external workflow/skill output.
feat/r5-workflow-complexity-reduction	RETIRE	LOW	Extracts user-testing appendices into a separate file — slimming for its own sake, which the value lens explicitly deprioritizes; also conflicts with main.
feat/r6-branch-strategy-conflict-prevention	MERGE	MED	Adds a pre-branch overlap-scan procedure (git diff --name-only across feat/* branches) with parallelize/sequence heuristics; clean and externally useful for multi-branch work.
feat/r6-cowen-technical-draft-note	REWORK	MED	Same technical-draft prioritization idea as the r5 sibling, slightly fuller; targets flat skills/cowen-critique.md (now a SKILL.md dir) — re-apply one version, not both.
feat/r6-pr-prep-scope-drift	MERGE	MED	Scope-drift re-review rule (file follow-up, decline non-blocker changes) tightens the review-fix loop; applies with one trivial context conflict.
feat/r6-rpi-bug-fix-sufficiency-bullet	MERGE	MED	Bug-fix research-sufficiency bullet (root cause named / code location / why tests missed it) gives a concrete stop condition; applies cleanly.
feat/r6-seed-context-enrichment	RETIRE	LOW	Injects gate pass/fail rates into the DD idea-generation prompt, but this is internal-measurability bias fed back into the SI loop (the deprioritized pattern) rather than a DD-output-quality win the user sees; also conflicts with main.
feat/r9-usage-data-analysis-boring	RETIRE	LOW	Tracking-doc bookkeeping moving H-01/H-05/H-07 to INCONCLUSIVE; pure SI introspection/self-measurement with no external output change.
