issue ID,issue summary,repo,commit ID,Pipeline raised,E2 raised,E4 raised,E5 raised,E6 raised,E7r1 raised (fable subscription; list-cost est),E7r2 raised (fable subscription; 5/8 cells scored - corpus/postfix/fscompat died pre-run),"E8 raised (evidence-discipline pipeline, full 8-instance sweep 2026-08-18)",fix status (including commit ID if fixed)
sec-R1,react/no-danger set to warn contradicts fail-loudly comment (warn exits 0),meta-formalism-copilot,8bde50c,yes,yes,yes (3/3),yes (verified by execution),crashed (re-run pending),yes (exact warn-exits-0 mechanism),yes (verified by execution; adds bare-eslint/no-max-warnings depth),"yes (RED, warn-exits-0)",unknown/open
sec-A1,trust AST-selector gaps: string-quoted key / shorthand / computed keys bypass the guardrail,meta-formalism-copilot,8bde50c,yes,partial (sibling class only),yes (3/3 as-worded),yes,crashed (re-run pending),yes (as-worded incl. string-quoted-key bypass + extra FP mode),yes (probe-verified incl. quoted-key/shorthand + string-true FP mode),yes,unknown/open
dep-R1,CLAUDE.md:77 claims Vercel writes go to /tmp - refuted by persist.ts/cache.ts writing cwd()/data (EROFS swallowed),meta-formalism-copilot,4329d6e,yes,no,near-hit (mechanism named; CLAUDE.md not itself flagged),near-hit (cited refuting persist.ts evidence; never flagged CLAUDE.md),unresolved (empty result + nonzero session exit; abstention vs failure unknown),yes (first non-pipeline full hit; EROFS-swallowed mechanism + Clear-500),yes (exact; EROFS-swallow cites in callLlm/streamLlm; cache.ts half too),"yes (A6, CLAUDE.md /tmp mismatch)",unknown/open
dep-R2,README:120 does-not-persist claim has right conclusion wrong mechanism (writes silently fail on read-only fs),meta-formalism-copilot,4329d6e,yes,no,yes (3/3),yes,unresolved (empty result + nonzero session exit; abstention vs failure unknown),yes (writes-silently-fail correction stated),yes (nothing-ever-written correction stated),yes (silent-write-fail mechanism),fixed in review-fix chain (README:120 rewritten; commit unrecorded)
fsc-R1,persist.ts:6-7 references a Deploy-to-Vercel README section that does not exist,meta-formalism-copilot,b64c1ca,yes,no,yes (1/3 union-only),yes,not run,no (unnamed 'docs' finding lost to summary truncation),not run (OAuth refresh failure; zero output),"yes (A5, phantom README section)",open at scoring time
fsc-A1,docstring omits that /tmp is per-Function-instance - concurrent analytics divergence,meta-formalism-copilot,b64c1ca,yes,no,yes (2/3),yes,not run,no,not run (OAuth refresh failure; zero output),yes,unknown/open
fsc-A2,inconsistent rest-args vs join-at-callsite convention,meta-formalism-copilot,b64c1ca,yes,no,no (convention survey class),no,not run,no,not run (OAuth refresh failure; zero output),yes,fixed in review-fix chain (rest-args dropped; commit unrecorded)
fsc-A3,cache hit-rate collapse on Vercel - cost impact,meta-formalism-copilot,b64c1ca,yes,no,no (deployment-model reasoning),no,not run,no,not run (OAuth refresh failure; zero output),yes (deployment-model reasoning - pipeline-only historically),unknown/open
fsc-A4,dataDir() deploy invariant untested,meta-formalism-copilot,b64c1ca,yes,no,no (test-strategy class),no,not run,no (unnamed 'test-coverage' finding lost to summary truncation),not run (OAuth refresh failure; zero output),yes,unknown/open
cor-A1,customTypeIds vs customArtifactTypeIds naming inconsistency,meta-formalism-copilot,2dc403e,yes,no,no (enumeration class),no,not run,no,not run (weekly usage limit; zero output),yes,fixed 4de2b00
cor-A2,storeAdapter state/ blob path bypasses the paths.ts choke point,meta-formalism-copilot,2dc403e,yes,no,no (enumeration class),no,not run,no (topic-adjacent duplication note only),not run (weekly usage limit; zero output),yes,fixed 4de2b00
cor-A3,stale comments (layout.ts ref in storeAdapter header; workspaceStore:44-46 ref),meta-formalism-copilot,2dc403e,yes,no,yes (raw output of 2/3 reps; parse-dropped),no,not run,no (unitemized 'two misleading comments'),not run (weekly usage limit; zero output),yes,fixed 4de2b00
cor-A4,manifest codec docstring drift: silent createdAt/updatedAt defaults vs never-silent-default claim; phantom browser-storage-cleared,meta-formalism-copilot,2dc403e,yes,yes,yes (3/3),"partial (same drift, different instance)",not run,"partial (same contract seam, different violation instance)",not run (weekly usage limit; zero output),yes,fixed 4de2b00
pf-R1,mergeStreamingPreview<T> types partial-JSON parses as complete T; between contract disagrees 3 ways; partial-field crash latent in 3 panels,meta-formalism-copilot,7f30210,yes (ground-truth run),no,no (structural: caught the pf-A6 symptom not the type-seam root),no (panel-local symptom only),not run,partial (sibling latent CausalGraphPanel crash found; type-seam root missed),not run (weekly usage limit; zero output),"yes (RED via architecture critic - PIPELINE-ONLY historically, every headless arm missed it)",unresolved at review (follow-up outside range: DeepPartial + schema minItems/maxItems)
pf-A1,allowUnsafeEval defaults fail-open: NODE_ENV != production grants unsafe-eval to test/staging/custom envs,meta-formalism-copilot,7f30210,yes (ground-truth run),yes,yes (3/3),no (endorsed the fail-open default),not run,"yes (flagged, not endorsed - prior-arm H5 pattern did not recur)",not run (weekly usage limit; zero output),yes (fail-open eval default),open at review (2026-08-06)
pf-A2,default buildCsp call path untested (tests pin both explicit arms; production runs the default),meta-formalism-copilot,7f30210,yes (ground-truth run),no,yes (1/3 union-only),yes,not run,yes (exact default-path-untested mechanism),not run (weekly usage limit; zero output),yes (untested default branch),open at review (2026-08-06)
pf-A3,eval policy caller-selectable: exported allowUnsafeEval param means dev-only is enforced by there being one call site,meta-formalism-copilot,7f30210,yes (ground-truth run),no,no (in-diff miss),no,not run,no,not run (weekly usage limit; zero output),yes (folded into pf-A1's caller-overridable-param finding),open at review (2026-08-06)
pf-A4,process.env.NODE_ENV read in a default parameter - ambient state in a previously pure formatter,meta-formalism-copilot,7f30210,yes (ground-truth run),no,no (in-diff miss),no,not run,no,not run (weekly usage limit; zero output),no,open at review (2026-08-06)
pf-A5,data.results used without truncation; misbehaving OpenAlex per_page turns Math.max(...allWorks) into a RangeError cliff,meta-formalism-copilot,7f30210,yes (ground-truth run),no,no (cross-file),no,not run,no (FALSE ATTESTATION: certified the cap arithmetic checks out),not run (weekly usage limit; zero output),yes (fact-check refused to attest safe - FALSE-attested historically),open at review (2026-08-06)
pf-A6,guard tests array presence not element presence: one-element between renders a dangling A-to row,meta-formalism-copilot,7f30210,yes (ground-truth run),no,yes (2/3),yes,not run,yes (array-presence vs element-presence as worded),not run (weekly usage limit; zero output),yes,open at review (2026-08-06)
pf-A7,connect-src docstring enumeration omits the DD-009 corpus git worker (drifts silently when S4/S5 ships),meta-formalism-copilot,7f30210,yes (ground-truth run),no,no (enumeration class),no,not run,no,not run (weekly usage limit; zero output),no,open at review (2026-08-06)
pf-A8,comment-accuracy residue: dropped parity claim survives at evidenceStore.ts:17; optional-chaining mischaracterization,meta-formalism-copilot,7f30210,yes (ground-truth run),no,partial (1/3; evidenceStore residue only),no,not run,no,not run (weekly usage limit; zero output),"partial (optional-chaining half only, via pf-A6)",open at review (2026-08-06)
C1,csp: no dev-mode unsafe-eval relaxation - dev breaks under the new CSP,meta-formalism-copilot,d90d6bb,no (at d90d6bb; pipeline later reviewed the fix in the postfix range),yes,yes (3/3),yes,yes (kept),yes,yes (Turbopack HMR eval verified against served runtime),no (dev-eval relaxation not treated as a defect),fixed 2e23824
C2,secdeps: no-restricted-imports misses require()/dynamic import() (sibling of sec-A1),meta-formalism-copilot,8bde50c,no,yes (near-miss appended),yes (3/3),yes,crashed (re-run pending),yes (dynamic import()/subpath bypass reproduced by execution),yes (dynamic import()/subpath reproduced by lint fixture),yes (require()/dynamic import() bypass),candidate label; open
C3,corpus: process.env?.NEXT_PUBLIC_CORPUS_FS optional chaining likely breaks Next build-time inlining (flag.ts),meta-formalism-copilot,2dc403e,no (survived review-fix 4de2b00),yes,yes (1/3),yes,not run,yes (hedged plausible - matches ledger's own pending status),not run (weekly usage limit; zero output),no (flagged unverifiable/network-blocked; mechanism not asserted),live at HEAD (2026-08-13); pending runtime adjudication
C4,csp: middleware matcher lookahead is prefix-based not segment-based (api-foo / favicon.ico.png slip through) - contradicts rubric Confirmed-Good row,meta-formalism-copilot,d90d6bb,no,no,yes (2/3),no,no,yes (unanchored matcher named),yes (matcher compiled with Next's path-to-regexp; favicon.ico dot noted),"yes (RED, matcher compiled and proven unanchored)",fixed ab4dbdb
D1,csp fix's test guard regex is vacuous - /\bhttp:\b/ can never match (proved by execution),meta-formalism-copilot,4f018ab,yes (E1 fresh re-run: csp-clean R1),n/a (out of reviewed range),n/a (out of reviewed range),n/a (out of reviewed range),not run,n/a (out of reviewed range),n/a (out of reviewed range),n/a (fix commit outside every E8 dirty-state range),live at HEAD (2026-08-13)
D2,corpus fix's production hard-refuse fails open: typeof process gating asymmetric vs ungated localStorage enable path,meta-formalism-copilot,4de2b00,yes (E1 fresh re-run: corpus-clean R2),n/a (out of reviewed range),n/a (out of reviewed range),n/a (out of reviewed range),not run,n/a (out of reviewed range),n/a (out of reviewed range),n/a (fix commit outside every E8 dirty-state range),live at HEAD (2026-08-13)
D3,rehydration seam bypass: legacy migrateFromV2() re-fires over corpus state on every load - ungated by isCorpusEnabled (existed in dirty state too),meta-formalism-copilot,4de2b00,yes (E1 fresh re-run: corpus-clean R1; dirty pass missed it),no,yes (raw output of 2/3 reps; parse-dropped),yes (best mechanism articulation of any arm),not run,yes (exact rehydration-seam mechanism),not run (weekly usage limit; zero output),"yes (RED, rehydration seam - pipeline-E1-only historically)",live at HEAD (2026-08-13)
D4,false fresh-ArrayBuffer-view comment above a plain w.write(bytes) (both corpus states),meta-formalism-copilot,4de2b00,yes (E1 fresh re-run; 3/3 both states),no,yes (1/3),no,not run,no (unitemized 'two misleading comments'),not run (weekly usage limit; zero output),yes (false ArrayBuffer comment),live at HEAD (2026-08-13)
D5,OPFS write race - un-serialized/un-debounced write seam,meta-formalism-copilot,4de2b00,yes (E1 fresh re-run),no,probable (debounce/serialization finding 3/3 targets same seam; same-issue match unadjudicated),yes,not run,yes (undebounced/unserialized stale-snapshot race),not run (weekly usage limit; zero output),yes (executed write-race probe + undebounced finding),live at HEAD (2026-08-13)
D6,fscompat cacheKey stored inside the cache file + double-hashing (both states),meta-formalism-copilot,b64c1ca,yes (E1 fresh re-run),no,no,no,not run,no,not run (OAuth refresh failure; zero output),"yes (explicitly labeled D6, execution-verified double-hash)",live at HEAD (2026-08-13)
N1,csp: middleware prefetch-skip (missing/purpose header exclusion) serves real HTML documents with no CSP at all,meta-formalism-copilot,d90d6bb,no,no,no,yes (TRUE-substantive),no,yes (prefetch CSP gap listed),yes (CONFIRMED; prepare-destination.js merge cited),yes (prefetch no-CSP),GRADUATED 2026-08-17 (fix-in-history ab4dbdb + 3 sightings); fixed ab4dbdb (prefetch skip deleted + test added)
N2,secdeps: new npm-audit CI gate fails on this very branch (5 high production advisories) - commit message claims it lands green,meta-formalism-copilot,8bde50c,no,no,no,yes (verified by execution),crashed (re-run pending),yes (re-found by execution as headline; 5 high advisories reproduced),yes (re-run by execution; 5 high advisories),"yes (RED, audit-gate-fails reproduced by execution - FABRICATED-as-passing historically)",GRADUATED 2026-08-17 (execution-reproduced x3 (E5/E7r1/E7r2)); open at review state
N3,lean: removal of localhost:3100 default breaks the documented local-dev flow (unset env short-circuits to verifier-not-configured),meta-formalism-copilot,c95c9cb,no,no,no,yes (TRUE-substantive),not run,yes (code-verified),yes,yes (RED),"GRADUATED 2026-08-17 (3 attestations, code-verified); behavioral half of lean-R1"
N4,"lean: decomposition path maps unavailable to ""unverified"" - node mode shows no badge/banner/Re-verify (silent)",meta-formalism-copilot,c95c9cb,no,no,no,yes (TRUE-substantive),not run,yes (code-verified),yes (default-arm collapse mechanism),"yes (RED, folded with N5)","GRADUATED 2026-08-17 (3 attestations, code-verified); pending HEAD adjudication"
N5,lean: formalizeNode ignores result.unavailable - node marked failed with empty errors and dependents skipped,meta-formalism-copilot,c95c9cb,no,no,no,yes (TRUE-substantive),not run,yes (code-verified),yes (cascade traced),"yes (RED, folded with N4)","GRADUATED 2026-08-17 (3 attestations, code-verified); pending HEAD adjudication"
N6,"deploy: ""+ Factor"" during streaming persists a partial causal-graph snapshot (frozen preview / DetailsView TypeError)",meta-formalism-copilot,4329d6e,no,no,no,yes (TRUE-substantive; pre-existing at base d86d2dc),unresolved (empty result + nonzero session exit; abstention vs failure unknown),no,no,"not scored (out-of-diff-scope candidate, not in the 54-row findable base)",candidate; out-of-diff-scope (base-commit bug)
N7,csp: no worker-src directive under strict-dynamic - pdf.js worker blocked (degrades to fake-worker main thread),meta-formalism-copilot,d90d6bb,no,no,no,no,yes (kept; TRUE-minor),"yes (pdf.js worker-src, hedged Safari framing)",no - investigated and REFUTED (w3c/webappsec-csp#200 + WPT passing 3/3 engines: strict-dynamic blesses workers),"not scored (refuted candidate, not in the 54-row findable base)",candidate REFUTED by E7r2 (spec/WPT evidence); pending demotion adjudication
N8,lean: workspaceStore partialize persists transient 'unavailable' across reloads - live persist path bypasses the branch's own sanitizer (guards legacy v2 path only),meta-formalism-copilot,c95c9cb,no,no,no,no,not run,yes (TRUE-substantive; code-verified),yes (live-persist-path bypass restated),yes (partialize sanitizer bypass),GRADUATED 2026-08-17 (2 code-verified attestations (E7r1/E7r2)); pending HEAD adjudication
N9,secdeps: new eslint rules block is unscoped (no files key) - lint crashes with plugin-react not found on first .cjs file added,meta-formalism-copilot,8bde50c,no,no,no,no,not run,yes (TRUE-substantive; reproduced by execution),no (files-scope gap noted; crash mechanism not surfaced),no (files-scope gap noted; crash mechanism unsurfaced),GRADUATED 2026-08-17 (execution-reproduced (E7r1)); pending HEAD adjudication
N10,deploy: CLAUDE.md claims unset LEAN_VERIFIER_URL means mock responses - unset actually defaults to localhost:3100 real verification (mock only on fetch failure),meta-formalism-copilot,4329d6e,no,no,no,no,not run,yes (TRUE-substantive; code-verified),no (FALSE ATTESTATION: stamped the unset-to-mock claim Accurate),"yes (RED, executed x2 refutation - FALSE-attested Accurate historically)",GRADUATED 2026-08-17 (static analysis (route.ts default confirmed; E7r2 Accurate stamp adjudicated false attestation)); pending HEAD adjudication
N11,corpus: flag enforceable in production - no NODE_ENV gate despite DEV-ONLY docstring (dirty-state ancestor of D2),meta-formalism-copilot,2dc403e,no,no,no,no,not run,yes (TRUE-substantive; code-verified),not run (weekly usage limit; zero output),"yes (executed, prod-enforceable flag)",GRADUATED 2026-08-17 (code-verified (E7r1)); relation to D2 pending adjudication
N12,corpus: storeAdapter awaited fs.writeFile has no catch - write errors become unhandled rejections (zustand persist never surfaces them),meta-formalism-copilot,2dc403e,no,no,no,no,not run,yes (TRUE-substantive; code-verified),not run (weekly usage limit; zero output),yes (uncaught write-error cluster),GRADUATED 2026-08-17 (code-verified (E7r1)); pending HEAD adjudication
N13,corpus: non-NotFound read error leaves defaults rendered (onRehydrateStorage early-return) and next write clobbers the intact OPFS file,meta-formalism-copilot,2dc403e,no,no,no,no,not run,yes (TRUE-substantive; code-verified),not run (weekly usage limit; zero output),yes (read-error clobber cluster),GRADUATED 2026-08-17 (code-verified (E7r1)); pending HEAD adjudication
N14,hygiene: edit/artifact route caches unvalidated LLM text and never evicts - a malformed response 502s permanently for that input (sibling artifactRoute.ts:103-105 evicts on parse failure),meta-formalism-copilot,f2f149b,no,no,no,no,not run,not scored (run died at $15 budget cap; zero output),"yes (TRUE-substantive; code-verified: callLlm caches pre-validation, route never calls removeCachedResult)","yes (RED, cache-poisoning reproduced)",GRADUATED 2026-08-17 (code-verified vs source (E7r2)); pre-existing at f2f149b; pending HEAD adjudication
N15,csp: img-src 'self' data: blob: blocks external images in markdown rendered via LatexRenderer (no urlTransform/allowedElements override) - unannounced behavior change,meta-formalism-copilot,d90d6bb,no,no,no,no,no,no,yes (TRUE-substantive; verified against react-markdown defaults),no (img-src markdown images),GRADUATED 2026-08-17 (verified vs react-markdown defaults (E7r2)); pending HEAD adjudication
N16,deploy: docs no-demo-mode + OpenRouter-fallback claims contradicted by callLlm.ts - branches on key presence not request failure; deploy env table makes the fallback unreachable; the Anthropic-to-OpenRouter-to-mock chain is a de facto demo mode,meta-formalism-copilot,4329d6e,no,no,no,no,unresolved (empty result + nonzero session exit; abstention vs failure unknown),no,yes (TRUE-substantive; consistent with cited callLlm.ts branches),"partial (via A5; candidate, not in the 54-row findable base, uncounted)",candidate; pending HEAD adjudication
