branch	tip_sha	date	subject
feat/r1-r1-maintenance-quota	28be881092aba10241613f3ab30ed2cc622af010	2026-04-30	feat: enforce maintenance/data-pipeline task quota in round-planner
feat/r1-r1-onboarding-entry-point-churn-trigger	40a12a1b6a49a22fbce3b7540ddcc00d78e0cbee	2026-04-28	docs: escalate to full re-run on entry-point churn in onboarding refresh
feat/r1-r1-pr-prep-retro-doc-convention	672bae8a7da285441907622e74e1247b890ea691	2026-04-28	docs: specify retro doc filename convention in pr-prep
feat/r1-r1-review-fix-loop-convergence-summary	4b2161417eb02f461aafbc0c6a4c0298a6c39d91	2026-04-28	docs: require clean-convergence summary in pr-prep review-fix loop
feat/r1-r1-round-history-json-deprecation	dc75f47ecebb4171564a1ca3dff7b62a34fe3a52	2026-04-28	docs: log scope exception for r1 round-history.json deprecation
feat/r1-r1-rpi-back-from-dd-pivot	42ce6e18a80a2bf55438193e1dd4bb1ef4adebda	2026-04-28	docs: add RPI ← From DD pivot for implementation-time constraint discovery
feat/r1-r1-si-pre-round-health-check	a8f335dce87db46f941f21c3dd888b9d7254fdda	2026-04-28	feat(si): add pre-round health gate that halts on broken main
feat/r1-r1-spike-testability-gate	8d46d5185be61261ee7115c78ef1e26aa71d4d6b	2026-04-28	docs(spike): add testability gate before step 2 timebox
feat/r1-r1-token-tracking	3c4cb6681375708f033b4d2e74f3e67bde663d36	2026-04-30	feat(self-improvement): record per-task token usage and surface round-mean tokens in morning summary
feat/r1-r1-ui-visual-review-3d-viewport	b2f78a1cb7d913f55067dfabbe8fd0168453f037	2026-04-28	feat(ui-review): add 3D viewport rendering checks and triggers
feat/r1-r1-ui-visual-review-multi-app-scoping	757c0a86cb22a60c47526dc93f7c1a8408a71331	2026-04-28	docs: add multi-app scoping question to ui-visual-review Step 1
feat/r1-r1-user-testing-dd-handoff-convention	a0cc80fa12963ab0bb8eee06059883d622bbd934	2026-04-28	docs: add DD handoff doc convention to user-testing-workflow
feat/r1-r1-user-testing-hypothesis-pilot	ccb5fadb468a77478489f0a24dcb7bf717388d4c	2026-04-28	feat(user-testing): hypothesis-driven pilot phase with discrimination go/no-go
feat/r1-rpi-plan-dependency-tree	4b13bc0186318a4c93ba50185a4502031a0eeed4	2026-05-03	feat(rpi): add optional Implementation order block to plan template for >5-step or /away-mode plans
feat/r1-self-eval-detail-gate-diagnosis	547a3d7bada695462cff8609b8d2da3d15ec521f	2026-05-12	fix(si): exclude *_detail records from gate stats and surface per-task skip reasons
feat/r1-self-improvement-modularization	c0566d3d753dc6b2a8f7c09fd4c93540d8176b50	2026-04-06	refactor: extract functions from self-improvement.sh into lib/si-functions.sh
feat/r1-si-cycle-framing-record	8d9487be47af6cfb1a2e11724a8ac02316307c16	2026-05-13	feat(si): record one-paragraph cycle framing at SI cycle start
feat/r1-si-duplicate-detector	00ffb4f6f1268331a1a098ebdace27d90128edd1	2026-05-03	feat(si): add pre-prune duplicate-candidate detector to surface near-duplicates against prior rounds and completed tasks
feat/r1-si-emits-integration-refresh	dcd1e4ed3eeb4539d06d7b9dc1bb92811cd7de72	2026-06-03	feat(si): emit a build-only dev-refresh integration branch from each run's approved PRs
feat/r1-si-failure-pattern-aggregation	83ffd977453a81d9730dc65fe39aa712d42afcda	2026-05-13	feat(si): aggregate gate-fail reasons into top-3 failure modes block in morning summary
feat/r1-si-input-failure-prompt	9cf0686dc3c2f478ae60726b9cf26e1276e3b917	2026-05-13	feat(si): add 'Failure modes from last cycle' prompt to SI input
feat/r1-si-null-result	63dbd60c0df83c787c80c634163f10fec599dd49	2026-05-03	feat(si): permit rounds to return null-result when backlog is below quality threshold
feat/r1-si-null-result-acceptance	f764c9e00ea2ef34521e23f490c39c304d326b99	2026-05-03	feat(si): accept null-result rounds with backlog-quality justification
feat/r1-si-pre-round-health-check	c1979275102fbc1401e7889758f422f144c25166	2026-04-28	feat(si): pre-round health-check gate halts run on repo breakage
feat/r1-si-value-revisit	0a35202bf13fe876b1c9dccf752c3f579dfbe029	2026-05-03	feat(si): add round-start value-revisit step sampling old features for cost-revisited verdicts
feat/r1-spike-dd-seed	f23f20aa55458d6c9ed03609281f122b1828f102	2026-05-03	feat(spike): add optional DD seed section for spikes invoked from DD
feat/r1-token-burn-rate-plan	25d20bb1d21647222c0af88dc7c8da023a3bbb2c	2026-05-12	refactor(si): remove permanent N/A Token Burn Rate section from morning summary
feat/r1-ui-visual-review-state-matrix	33ad0259aa083a425023d2a9ab8f5b091640d96b	2026-05-03	feat(ui-visual-review): add 6-state matrix (default/hover/focus/active/disabled/error) for diff-touched interactive elements
feat/r1-user-testing-contrastive-analysis	7748cdd4ef33fb33353f7d0a684609ec978ba74e	2026-05-03	feat(user-testing): add contrastive session pair analysis to Phase 3
feat/r1-user-testing-moderator-extract	9a7dbc340b115b572e62d72a3bab48807538d62a	2026-04-06	fix: restore actively-referenced files removed by subtraction step
feat/r1-user-testing-recruitment-criteria	da2e7828a94c801d25a6bd8533a18a8b48fd6c8c	2026-05-03	feat(user-testing): add Phase-0 recruitment criteria block with convenience-sample escape valve
feat/r1-workflow-effectiveness-framing	dbfafda7ac02089b72f7692aaaf8c5161b0a57a9	2026-04-08	feat: replace complexity check with value_justification validation
feat/r1-workflow-trigger-transparency	6db1d53a63067036badb092f4b826a2a8733a28f	2026-04-08	feat: add trigger conditions to workflow frontmatter and CLAUDE.md
feat/r10-debugging-worked-examples	b329bc5cf2840a4d570f73d7439c730d2eaf20e3	2026-04-08	docs: add summary for debugging worked examples task
feat/r10-hypothesis-backlog-retirement	66443dc3c7c9e333898149b6f7e381ee7b546ee8	2026-04-08	feat: retire H-02, H-08, H-09 as INCONCLUSIVE-EXPIRED
feat/r10-workflow-trigger-examples	3fadb89d9f1d4f3a16e086cd7f3218cf47c15af7	2026-04-08	feat: add example user requests to workflow decision tree
feat/r11-hypothesis-backlog-retirement	08e578a5013931e8ed09a33f7fdbc38cd9c226fe	2026-04-08	feat: retire H-02, H-08, H-09 as INCONCLUSIVE-EXPIRED
feat/r11-workflow-trigger-examples	cd0646a7dd2fd7d9214f91773dbc02eeca42c58e	2026-04-08	feat: add example user requests to workflow decision tree
feat/r12-hypothesis-backlog-retirement	3dd0bbd13695bb855975caf4279a4003e88e7d00	2026-04-09	feat: retire H-02, H-08, H-09 as INCONCLUSIVE-EXPIRED
feat/r13-hypothesis-backlog-retirement	5239ec57ec91ff8bd6903b2c6ec2b77feaea41bf	2026-04-09	docs: add summary for hypothesis-backlog-retirement task
feat/r2-ai-personas-critique-skill	a9cd6c2777b1762de25cac59df2d4d2435c2fc7f	2026-04-08	docs: add summary for ai-personas-critique skill implementation
feat/r2-arch-review-in-code-review	87f2f8eebda18bb38c6ddbce3e5194f0faa72b9d	2026-04-28	feat: wire architecture-review into code-review as contextual critic
feat/r2-arithmetic-eval-skill	1a2666b9ec34f61567208f21aa983d4213561f51	2026-04-08	feat: add arithmetic-eval skill for exact calculation via python3
feat/r2-convergence-transparency-report	39efa7509dce2d01d05bf699c8d37b2750840031	2026-04-08	feat: add convergence transparency report to self-improvement loop
feat/r2-dd-failure-first-variant	69713bc975d6af257b2787cfd8a1db22577a3d04	2026-05-13	feat(divergent-design): add Failure-First Generation variant inverting diverge order
feat/r2-dd-scoring-rubric	20cc89dd5357fd0cb1c1e7365b243339ff75de7a	2026-04-28	docs(divergent-design): tighten glyph rubric in step 3 and epistemic variant
feat/r2-fact-check-temporal-anchor	83967cbd2d591005e9ec13b78441c2567c23af59	2026-04-28	feat: add time-bound claims handling to fact-check skill
feat/r2-hypothesis-backlog-activation	b9a998e90506712a43ddffc952d77b9403f95fb7	2026-04-06	feat: activate hypothesis evidence pipeline with self-referential scan
feat/r2-hypothesis-evaluation-automation	c35f632bc5e6202afd44dbf0ae37b90ae3af8074	2026-04-06	docs: add summary for hypothesis evaluation automation task
feat/r2-hypothesis-evidence-analysis	260c8ad213b60c0cf5a4b39a48b1d3ac4a1ba932	2026-04-09	docs: resolve H-01, H-05, H-07 as INCONCLUSIVE from usage.jsonl analysis
feat/r2-morning-summary-intentionality-aids	9dc18e04f4ecb0808aa191067fb5d6541b403757	2026-06-03	feat(si-morning-summary): give each verdict-ready hypothesis a YES/NO adjudication line from its counter-evidence window
feat/r2-mvp-process-headers	b9748507575d3bd04a6135a0f015add9fb8f59b4	2026-04-06	docs: add summary for mvp-process-headers task
feat/r2-onboarding-dd-double-diamond-handoff	6625a5cbf13cc6855217feb2bd6ece4ede2f0bdf	2026-05-13	feat(onboarding): replace from-scratch silent skip with explicit DD Double Diamond redirect
feat/r2-pr-prep-ci-triage	5eba6e42a1a5138cda4ee7a072149686ad4a51de	2026-04-28	docs: add 3-class CI-failure triage to pr-prep step 5a
feat/r2-pr-prep-decision-citation-checklist	8483d418e5d9c0f72a3f64d08a904570a7668fc1	2026-05-15	feat(pr-prep): require manual Decisions-referenced checklist line in PR description
feat/r2-pr-prep-failures-prevented-line	60a4c6ac9c9790ab013b991a473ec8e5843dbad9	2026-05-13	feat(pr-prep): add optional 'Failures prevented' line to PR description template
feat/r2-pr-prep-reviewer-orientation	1de97072a0ad1035c7cb9c1bc7d8b1820bb69cef	2026-06-23	feat(pr-prep): require an intent-first "Reviewer's path — start here" section naming 1–3 files in read-order
feat/r2-pr-prep-test-evidence-bounded	9f6a24e191f58cec74c2d97c70d3a174e3ac2b97	2026-05-12	docs(pr-prep): require test evidence per major change in PR description
feat/r2-r2-dd-candidate-token-cost-column	aa9e08d7fb5163b3788ce2025670415413918e7f	2026-04-30	feat(dd): add Est. token cost column to step-4 tradeoff matrix
feat/r2-r2-hypothesis-pipeline-integrity	f1905dab214e286e34c9c228efe36ed308436198	2026-04-30	feat(health-check): add hypothesis pipeline integrity check
feat/r2-r2-hypothesis-surfacing-fix	08f7101574e60206eafbeec32a15585a02d01875	2026-04-30	fix(si-morning-summary): surface INCONCLUSIVE hypotheses, add row-count regression guard
feat/r2-r2-pr-prep-scope-drift-check	a8e184cb627cd8fe85d43a088b3daa922bf819c0	2026-04-30	feat(pr-prep): add files-touched scope-drift gate to step 3 exit criteria
feat/r2-r2-si-round-purpose-header	dd82096edeee9e968cdc87b63d1d7f107cc61bf6	2026-04-29	feat(orchestration): inject round-purpose header into per-task agent prompts
feat/r2-r2-task-status-block	afb22cb47bb8fc491ec672eb17fdd6f2f8d238b2	2026-04-29	docs(pr-prep): add optional Status block to PR-description template
feat/r2-r2-token-tracking-narrow	d1a802d250112dbc4fa638442f77d86d7cb757f9	2026-04-30	feat: capture per-task implementer token usage from claude session logs and surface round mean in morning summary
feat/r2-review-fix-loop-override-noise	44c29937ecfcbdc880b1bb4a807dbb26a658711e	2026-05-12	feat(review-fix-loop): filter findings matching Won't-Fix override-log rows out of per-iteration triage
feat/r2-review-fix-non-convergence	ba4b8ea9019b5207d6698c9e03a5b1c8f59b0521	2026-04-28	docs: add review-fix non-convergence classification before escalation
feat/r2-rpi-checkpoint-freshness	c58922e3a5d6a82f7d5a77f37eb06837e7957feb	2026-04-28	docs: add conditional checkpoint freshness check to RPI continuation guidance
feat/r2-self-improvement-modularization-reduced	2c5daba777eda7ae07ab78c2fc287b129edad34f	2026-04-06	refactor: extract 3 pure functions into scripts/lib/si-functions.sh
feat/r2-si-cycle-framing-shellcheck-clean	a7057666b4273030098d486915aa3b19370e381a	2026-05-13	feat(si): emit per-cycle docs/working/cycle-framing.md at round start
feat/r2-si-emits-integration-refresh	e9b8dd57a7ee5829b47d950923ca0174a8e31211	2026-06-03	feat(si): execute branch-strategy integration refresh on the run's branches as a final build-only step
feat/r2-si-seed-addressed-echo	db22b1b25ed2f26ecc134a0b1ce48eb3291546d1	2026-06-02	feat(si): echo already-shipped si-input seeds as adoption-gap questions instead of silently re-generating them
feat/r2-skill-creator-format-audit	f3ac1450c49920a8061b9b81eaa761c7288c6b68	2026-04-09	feat: audit skills against skill-creator guidelines, fix Task→Agent tool refs
feat/r2-spike-framing-patterns	750eb237175410ede31b24b142ba606673f104e8	2026-04-28	docs: add three question-framing patterns to spike step 1
feat/r2-subtraction-mode-script	dc4fdbf31f106cef7bbca8832efce3f00ac84670	2026-04-06	feat: add flag-removal-candidates script for subtraction mode
feat/r2-task-schema-path-validator	a3606bc14cac80bd2860215607d0f6ac63b84f62	2026-04-06	feat: add pre-flight path validation for files_touched in task schema
feat/r2-ui-visual-review-semantic-a11y	7cdd3677a804d1a58c3cbbfdc4d5cfa0facbd15c	2026-04-28	docs: add semantic-a11y checklist to ui-visual-review full audit
feat/r2-workflow-transition-handoff-line	0dfd106d5b40d72cdbef24c6f77d77783a2ba580	2026-06-02	feat(workflows): add "← carried from" transition handoff marker across DD→RPI and RPI→pr-prep seams
feat/r3-claude-api-failure-modes-line	fb593b5f93e875e8b534ae0e31d056c1c03852b5	2026-05-13	feat(claude-api): add failure-modes line to description (model deprecation, context overflow, cache miss)
feat/r3-dd-diamond1-healthcheck-examples	69f618f87e82e36b2b75c5484fc8e0e85b1e1cc3	2026-05-13	docs(dd): add concrete worked examples to Diamond 1 health-check enumeration
feat/r3-dd-diamond1-stakeholder-scope-grid	9690bd1583b05c6ba292fd10e1a3150506fce994	2026-05-13	feat(dd): add stakeholder and scope columns to Diamond 1 diagnose step
feat/r3-dd-step1-failure-mode-bullet	fd75a7d6a7947c970cae29c1bdbd511f3be98514	2026-05-13	feat(dd): add failure-driven invocation bullet to step 1 Diverge
feat/r3-dd-step2-success-criterion-required	bc522c30427c099b505bff6b4f9f5488275d5b89	2026-05-15	feat(divergent-design): require success: line for every hard constraint in step 2
feat/r3-effectiveness-framing-replace	21a37c1f571bbab913568fde71a9afe2b486c92d	2026-04-08	feat: replace line-count complexity budget with value-justification frontmatter
feat/r3-hypothesis-evaluation-automation	7487a0ebf8d40db8c81fbe812abdda3044cf3b27	2026-04-06	docs: add summary for hypothesis-evaluation-automation task
feat/r3-integration-execution-shellcheck-clean	e73f17986a6f50c6762c291ec385fb41544fab9e	2026-06-03	feat(si): add build-only end-of-cycle integration-branch refresh that merges the run's open PRs
feat/r3-modularization-reland	86ea43751b4efd9b56b64adaeda469bc25cf7f2d	2026-04-06	docs: add modularization reland summary
feat/r3-morning-summary-stale-inconclusive-archive	c287c731adaf8bfcd2f8ff9f56142cb613cf06c2	2026-05-15	feat(si): surface stale INCONCLUSIVE hypotheses in morning summary
feat/r3-onboarding-fromscratch-dd-pointer-v3	667d5e05efa23375ca8e53cddf4411a219c6a54c	2026-05-13	docs(onboarding): note from-scratch projects may use DD Double Diamond instead of execution-surface skip
feat/r3-post-merge-verification	e159401653451456f7e817bf11bb8a902e8971ce	2026-04-06	feat: add post-merge diffstat verification to detect empty merges
feat/r3-pr-prep-decision-citation-mechanized	b10427fcf0cf712551f9073d1a77039960ec4557	2026-05-15	feat(pr-prep): mechanize Decisions touched line via Relevant paths intersection
feat/r3-r3-dd-post-decision-fragility-note	6f31bb4a75aecb358705d2c51d9f30dd6252173f	2026-05-03	feat(dd): add post-decision fragility marker to DD decision record template
feat/r3-r3-dd-stress-test-deltas	47ec497726b18c04de67ad5f1ba01e74658cd854	2026-04-28	docs: add optional stress-test deltas template to DD step 4
feat/r3-r3-dep-upgrade-security-crosslink	da7d27523e7a2cc0ade20f1580823f6bb418e0b7	2026-04-28	docs(skills): cross-link dependency-upgrade to security-reviewer
feat/r3-r3-onboarding-how-to-run	ad35610a0d9844d4d439edd31dd1b14d2638b2c2	2026-04-28	docs: add 'How to Run' to codebase-onboarding workflow
feat/r3-r3-onboarding-task-purpose-context	8d897ce526d8571c9a8d6e1561ad512100420319	2026-04-29	feat: capture and propagate onboarding intent to subsystem sub-agents
feat/r3-r3-persona-selection-log	47b3e731321c8d82d0362409e8275962c136a5f2	2026-04-28	docs: log considered-but-not-selected personas in step 3
feat/r3-r3-pr-prep-registered-hypothesis	cc3d29528fb27ebabd58aa78b636fdbdef178eba	2026-04-30	feat(pr-prep): add optional falsifiable-expectation line with 2-week check-by default
feat/r3-r3-rpi-reference-not-duplicate	bb8d91effd016847f1383f15934897e069efdee8	2026-04-28	docs: add reference-don't-duplicate guidance to RPI step 3
feat/r3-r3-si-task-prompt-goal-preamble	1f22522ca4a7b1a4dd94ca8410d83394af759712	2026-04-29	feat(orchestration): use orchestrated-review goal-preamble in per-task SI dispatch
feat/r3-r3-skill-creator-audit-readonly	d886e07985d595e8f95764f67ce4a61f319317ed	2026-04-09	docs: audit 5 skills against Anthropic skill-creator guidelines
feat/r3-r3-task-decomp-dispatch-example	0b14d54a188a6d3eb3f41b80a9c0b076c81a21b3	2026-04-28	docs: add parallel-dispatch end-to-end example to task-decomposition
feat/r3-r3-task-decomposition-examples	cd0cdf0bbabaaed1086bf54ac28a3a79ac27f496	2026-04-09	docs: add task-decomposition worked examples guide
feat/r3-r3-tasks-schema-scope-required	398334d125dd473aac9d3c23db50e040c50ad277	2026-05-03	feat(si): require scope (external|internal-si|infra) on every planner task
feat/r3-r3-tech-debt-rpi-handoff	00343b58db65e15b797ed506d2a0b13e1887e484	2026-04-28	docs: add Fix-now → RPI handoff sub-section to tech-debt-triage
feat/r3-r3-test-strategy-rpi-trigger	eccaaa24c161bc046eca4aa3ee98c34aee4f4e4f	2026-04-28	docs: route RPI plan test specification through test-strategy skill
feat/r3-r3-yglesias-non-policy	7dc769f8f3ce1bf6db28bf52be3dbe106e0606a5	2026-04-28	docs: add non-policy prioritization note to yglesias-critique
feat/r3-self-eval-baseline-preview	bfc9d0155f8ba6d38aadebd527e00d203067667f	2026-04-06	feat: inject baseline self-eval scores into worktree agent prompts
feat/r3-si-cycle-framing-python-only	2a455ba846bf00e7e29abe764ad5ad5ca9312cd9	2026-05-13	feat(si-morning-summary): add Python emitter for top-of-summary Cycle framing line (no .sh edits)
feat/r3-simplification-audit	355fafd2edccd7b23589012634a2cb68547ecf03	2026-04-06	docs: add summary for simplification audit task
feat/r3-task-summary-generation-fix	577adca3b5cf8c0fc413308758db69ad91fa179f	2026-04-08	fix: improve summary generation reliability in self-improvement.sh
feat/r3-tests-gate-failure-isolation-task	c6abac118e5ab0aecc66534b17abde6f7e021e80	2026-05-19	diagnose(tests-gate): isolate pivot-consistency.bats bug-diagnosis.md regression as R3 blocker
feat/r3-workflow-transition-handoff-line-narrowed	28a685ba9cb48fb97df3a6d9d6b6f65e14f93992	2026-06-02	feat(pr-prep): require an "← carried from RPI" continuity line at the RPI→pr-prep handoff, additive to the existing plan-drift check
feat/r4-failure-analysis-automation	21f06d30db357a0cb26b44ee593ce967d61e8a9a	2026-04-08	docs: add summary for failure analysis automation task
feat/r4-hypothesis-survey-runner	5c10a5cf5282a6cc04dff10d1c69889814ef632b	2026-04-08	fix: mark run-hypothesis-survey.sh as executable
feat/r4-onboarding-sub-agent-canonical-form	a2e2aa48ebd1c1b60699d97537e0524f108ce397	2026-04-29	docs(onboarding): adopt canonical goal-preamble form for subsystem sub-agent dispatches
feat/r4-r8-bug-diagnosis-hypothesis-prompts	e9df0b8cb10d80d624dc83c2d4ea70c32445731b	2026-04-28	docs: add hypothesis generation prompts to bug-diagnosis step 3
feat/r4-r8-dd-prior-decision-seed	8eec8f164ff017e9f555743b7dbcedb450956e38	2026-04-28	docs: seed DD candidate 0 from prior decisions in docs/decisions/
feat/r4-r8-draft-review-ensemble-threshold	138b6d2278883e369636681c0d903c160966e623	2026-04-28	docs: add ensemble convergence threshold table to draft-review
feat/r4-r8-fact-check-chunking	a9e497e0ec937a2d0438bf91c69bae9dea4f9351	2026-04-28	docs: add chunking guidance for long drafts in fact-check skill
feat/r4-r8-onboarding-section-index	73ef2f0c000e259d1a21507e995416a511affc01	2026-04-28	docs: require section index at top of orientation doc
feat/r4-r8-pr-prep-escalation-template	2d1394e772ad6bed5b1348e2e639f3e80e076fa0	2026-04-28	docs: add escalation summary template to pr-prep step 3e
feat/r4-r8-rpi-checkpoint-freshness	9cbad827a28a5312664ad7d4c923ddab7d65c87b	2026-04-28	docs: add checkpoint freshness check to RPI continuation guidance
feat/r4-r8-task-decomp-evidence-priority	7b185d8edd87dc6019e5152b619eb22f0d56d83f	2026-04-28	docs: add evidence-priority tiebreaker to task-decomp reconciliation
